,master_bio,master_bioage,master_biobirth,master_bioparen,master_hbrutto_l,master_hgen,master_hgen_long,master_h_l,master_ibip_parent,master_ibip_pupil,master_ilanguage,master_imputation,master_inno,master_inno_h,master_kind,master_partner,master_pbrutto_l,master_pgen,master_pgen_l,master_ppfad,master_p_l
master_bio,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
master_bioage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
master_biobirth,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
master_bioparen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
master_hbrutto_l,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
master_hgen,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
master_hgen_long,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
master_h_l,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
master_ibip_parent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
master_ibip_pupil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
master_ilanguage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
master_imputation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
master_inno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
master_inno_h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
master_kind,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
master_partner,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
master_pbrutto_l,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
master_pgen,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
master_pgen_l,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
master_ppfad,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0
master_p_l,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
